invoiceID,custID,salesDate
1,25,2005-04-30
2,23,2006-10-09
3,1,2010-12-01
4,5,2009-05-15
5,16,2010-08-13
6,18,2010-08-21
7,9,2010-12-22
8,9,2008-01-15
9,30,2009-10-27
10,13,2011-07-29
11,3,2011-05-13
12,22,2005-09-22
13,16,2006-05-16
14,2,2007-10-28
15,18,2010-11-05
16,11,2006-01-06
17,2,2010-11-14
18,29,2010-01-13
19,27,2008-03-19
20,2,2011-08-13
21,5,2007-04-27
22,8,2008-10-25
23,27,2009-08-28
24,23,2009-05-24
25,1,2008-08-13
26,26,2006-10-03
27,14,2007-04-04
28,19,2007-02-15
29,10,2008-05-08
30,7,2008-10-16
31,20,2010-07-08
32,34,2010-04-15
33,29,2009-07-23
34,20,2011-09-29
35,39,2006-06-27
36,6,2008-01-08
37,38,2011-04-30
38,8,2007-02-27
39,15,2010-12-21
40,28,2010-03-02
41,21,2005-06-27
42,17,2011-05-25
43,10,2007-02-23
44,36,2008-10-06
45,18,2010-09-16
46,27,2007-09-15
47,8,2010-10-31
48,20,2011-04-17
49,16,2005-09-17
50,34,2005-06-04
51,21,2005-04-01
52,21,2010-06-03
53,3,2006-11-09
54,8,2011-05-26
55,4,2010-03-13
56,3,2010-04-22
57,34,2010-06-23
58,17,2010-03-03
59,22,2007-12-15
60,4,2009-07-17
61,24,2005-08-05
62,2,2007-08-10
63,38,2008-09-29
64,14,2006-03-16
65,22,2009-04-29
66,38,2011-10-22
67,19,2009-05-11
68,20,2011-10-12
69,6,2005-02-04
70,33,2005-06-17
71,8,2009-09-04
72,26,2009-06-10
73,11,2007-03-16
74,18,2009-07-14
75,23,2010-10-05
76,29,2008-11-01
77,6,2005-12-25
78,30,2006-11-13
79,9,2007-08-12
80,22,2009-11-08
81,25,2010-07-30
82,30,2007-12-13
83,3,2008-04-10
84,27,2005-11-13
85,38,2005-03-03
86,7,2010-06-02
87,30,2008-02-03
88,32,2007-11-14
89,24,2006-10-04
90,12,2005-12-03
91,36,2005-10-26
92,8,2006-07-09
93,13,2008-07-30
94,34,2006-01-08
